ReviewerName,Description
Vibhav singh,Look wise feel great .. Works fine no issues at all... Buttons are too soft that's nice but sometimes it clicks even a slight touch.. Otherwise perfect for use
Amazon Customer,"It’s a blessing in disguise.Sleek design, very compatible with all devices, long lasting, doesn’t break if fell down. Good product"
Nilesh Attarde,"I have purchased this product 5 months ago and facing issue with scroll and left mouse button.The build quality of the mouse is okay, but the scroll button is not that good. dust can easily damage the scroll button."
Vaibhav,"Nice Product. You will love to be work on computer with this mouse. Enjoy Clicking!But scroll button made by pure plastic, it makes some noise while scrolling up/down."
Anurag Jain,"One of the Most loveliest Mouse that i have bought, The Ergonomics are perfect & grips created are very nice. The button press creates the sound of ""click click"" which is more of an ODE to the old technology. Simply put don't hesitate in buying it."
npp23,"Easy to use, good lag free connectivity and economic battery usage too. Worth the money!"
vanshika gupta,Great quality compact mouse very sturdy easy to carry n work with love the product also it was delivered with the battery
Amit Pawar,"Good but not for the work where accuracy matters,fine scrolling is not possible with this."
Amazon Customer,i bought this product one month back and it has stopped working. initially it lost touch and it was never precise with its cursor movement but now it has stopped working even after changing its battery.
KM,Like the size - not too small or too big and responsive too
Abhishek Chowdhury,"Good for office use, its smaller than it looks in the picture. Would be uncomfortable for big palms. Not a gaming mouse. Bluetooth works seamlessly."
Adi,"Its a wonderful product! I was about to buy the cheaper ones in the range of Rs.250-Rs.400. Read some reviews and felt its better to spend a bit more and go for a better brand. This product is great and just plugged and started working fine.Best part is about the invisible optics where the mouse doesnt emit light which conserves much battery.Also, kudos to Amazon as it delivered the product in less than 24 hrs and that too to a Tier 2 city! Amazing service!"
Ravi Bagri,Awesome Product....I hope it doesn't disappoints later on also
Sandip Kumar De,Will prefer the other models from Logitech. Very basic.
Amazon Customer,"The mouse lasted for 2 1/2 years with daily use of 8 hours, pretty good for the price"
SamG,The shape is not ergonomic. Looks and feels flimsy. Logitech service center says it has 1 yr warranty but amazon says 3 yrs warranty.Not impressed with the product. Had to return it
Hanumantha Rao,Product is less weight an easy to handle. Connects immediately to your PC and one of the best and smooth design it is having.
Koko,Very lovely products since I have purchase this product I am very very happy I will not change the battery from last 4 months it's very very nice product thank you Amazon and thank you Logitech keep making affordable strong product.
Color Infotech,"Hi, I bought mouse in November 2019 after 7 month mouse middle scroll button stop working. I approach Logitech customer care  through mail but didn't get satisfy answer from them neither they give me phone number of any service center near me or neither they give me home service."
SARASWATI TRADERS,"when i received package of printer and mouse. i checked printer but i did not checked mouse.but today when i needed mouse i opened it and there was bluetooth usb was missing. side partition of mouse box  was empty.itsa request from amazon team , kindly replace mouse.thanks"
Shantanu T.,The best wireless mouse I could have bought at this price. Extremely stylish and executive design. Awesome performance. Perfectly designed buttons for the optimum force required to click. Big enough to fit in average sized palms. Very light weight considering the AA battery. Just go for it.
Dilip K.,"Good looking but small in size if we compare to normal wired one. It serves the purpose. So, no issue till now."
